Day,Date,Phase(s),Lessons Covered,Est. Study Time (hrs),Resources (links),Daily Task,Assignment,Cumulative Project,Project Application Task,Milestone
45,2026-08-26,P11: LLM Engineering | P12: Multimodal AI,15 Prompt Caching & Context Caching; 01 Vision Transformers and the Patch-Token Primitive; 02 CLIP and Contrastive Vision-Language Pretraining,6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/11-llm-engineering/15-prompt-caching | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/01-vision-transformer-patch-tokens | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/02-clip-contrastive-pretraining,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
46,2026-08-27,P12: Multimodal AI,03 BLIP-2 and Q-Former as Modality Bridge; 04 Flamingo and Gated Cross-Attention,5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/03-blip2-qformer-bridge | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/04-flamingo-gated-cross-attention,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
47,2026-08-29,P12: Multimodal AI,05 LLaVA and Visual Instruction Tuning; 06 Any-Resolution Vision: Patch-n'-Pack and NaFlex,5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/05-llava-visual-instruction-tuning | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/06-any-resolution-patch-n-pack,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
48,2026-08-30,P12: Multimodal AI,"07 Open-Weight VLM Recipes: What Actually Matters; 08 LLaVA-OneVision: Single, Multi, Video",6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/07-open-weight-vlm-recipes | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/08-llava-onevision-single-multi-video,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
49,2026-08-31,P12: Multimodal AI,09 Qwen-VL Family and Dynamic-FPS Video; 10 InternVL3 Native Multimodal Pretraining,4,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/09-qwen-vl-family-dynamic-fps | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/10-internvl3-native-multimodal,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
50,2026-09-01,P12: Multimodal AI,11 Chameleon and Early-Fusion Token-Only; 12 Emu3 Next-Token Prediction for Generation,5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/11-chameleon-early-fusion-tokens | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/12-emu3-next-token-for-generation,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
51,2026-09-02,P12: Multimodal AI,13 Transfusion Autoregressive + Diffusion; 14 Show-o and Discrete-Diffusion Unified,5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/13-transfusion-autoregressive-diffusion | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/14-show-o-discrete-diffusion-unified,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
52,2026-09-03,P12: Multimodal AI,15 Janus-Pro Decoupled Encoders; 16 MIO Any-to-Any Streaming,4,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/15-janus-pro-decoupled-encoders | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/16-mio-any-to-any-streaming,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
53,2026-09-05,P12: Multimodal AI,17 Video-Language Temporal Grounding; 18 Long-Video Understanding at Million-Token Context,6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/17-video-language-temporal-grounding | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/18-long-video-million-token,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
54,2026-09-06,P12: Multimodal AI,19 Audio-Language Models: Whisper to AF3; 20 Omni Models: Thinker-Talker,6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/19-audio-language-whisper-to-af3 | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/20-omni-models-thinker-talker,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
55,2026-09-07,P12: Multimodal AI,"21 Embodied VLAs: RT-2, OpenVLA, π0, GR00T; 22 Document and Diagram Understanding",6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/21-embodied-vlas-openvla-pi0-groot | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/22-document-diagram-understanding,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,
56,2026-09-08,P12: Multimodal AI,23 ColPali Vision-Native Document RAG; 24 Multimodal RAG and Cross-Modal Retrieval,6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/23-colpali-vision-native-rag | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/24-multimodal-rag-cross-modal,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ - Multimodal Search (stretch),Optional stretch: prototype multimodal search/RAG over menu photos for CartQ using today's technique.,"PHASE 12 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
57,2026-09-09,P12: Multimodal AI | P13: Tools & Protocols,25 Multimodal Agents and Computer-Use (Capstone); 01 The Tool Interface; 02 Function Calling Deep Dive,6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/12-multimodal-ai/25-multimodal-agents-computer-use | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/01-the-tool-interface/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/02-function-calling-deep-dive/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ MCP Server,Build/extend an MCP server exposing CartQ vendor/order tools (the flagship MCP portfolio piece) using today's protocol concept.,
58,2026-09-10,P13: Tools & Protocols,03 Parallel and Streaming Tool Calls; 04 Structured Output; 05 Tool Schema Design; 06 MCP Fundamentals; 07 Building an MCP Server,5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/03-parallel-and-streaming-tool-calls/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/04-structured-output/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/05-tool-schema-design/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/06-mcp-fundamentals/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/07-building-an-mcp-server/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ MCP Server,Build/extend an MCP server exposing CartQ vendor/order tools (the flagship MCP portfolio piece) using today's protocol concept.,
59,2026-09-12,P13: Tools & Protocols,08 Building an MCP Client; 09 MCP Transports; 10 MCP Resources and Prompts; 11 MCP Sampling; 12 MCP Roots and Elicitation; 13 MCP Async Tasks,6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/08-building-an-mcp-client/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/09-mcp-transports/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/10-mcp-resources-and-prompts/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/11-mcp-sampling/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/12-mcp-roots-and-elicitation/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/13-mcp-async-tasks/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ MCP Server,Build/extend an MCP server exposing CartQ vendor/order tools (the flagship MCP portfolio piece) using today's protocol concept.,
60,2026-09-13,P13: Tools & Protocols,"14 MCP Apps; 15 MCP Security I — Tool Poisoning; 16 MCP Security II — OAuth 2.1; 17 MCP Gateways and Registries; 18 MCP Auth in Production — Enrollment, JWKS Refresh, Audience Pinning",5.5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/14-mcp-apps/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/15-mcp-security-tool-poisoning/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/16-mcp-security-oauth-2-1/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/17-mcp-gateways-and-registries/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/18-mcp-auth-production/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ MCP Server,Build/extend an MCP server exposing CartQ vendor/order tools (the flagship MCP portfolio piece) using today's protocol concept.,
61,2026-09-14,P13: Tools & Protocols,19 A2A Protocol; 20 OpenTelemetry GenAI; 21 LLM Routing Layer; 22 Skills and Agent SDKs; 23 Capstone — Tool Ecosystem,6,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/19-a2a-protocol/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/20-opentelemetry-genai/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/21-llm-routing-layer/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/22-skills-and-agent-sdks/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/13-tools-and-protocols/23-capstone-tool-ecosystem/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ MCP Server,Build/extend an MCP server exposing CartQ vendor/order tools (the flagship MCP portfolio piece) using today's protocol concept.,"PHASE 13 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
62,2026-09-15,P14: Agent Engineering,01 The Agent Loop; 02 ReWOO and Plan-and-Execute; 03 Reflexion and Verbal Reinforcement Learning; 04 Tree of Thoughts and LATS; 05 Self-Refine and CRITIC,5.25,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Agent Loop,"Build/extend the Bengali AI agent's core loop, memory, or tool-use using today's agent engineering pattern.",
63,2026-09-16,P14: Agent Engineering,06 Tool Use and Function Calling; 07 Memory — Virtual Context and MemGPT; 08 Memory Blocks and Sleep-Time Compute (Letta); 09 Hybrid Memory — Vector + Graph + KV (Mem0); 10 Skill Libraries and Lifelong Learning (Voyager),6,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Agent Loop,"Build/extend the Bengali AI agent's core loop, memory, or tool-use using today's agent engineering pattern.",
64,2026-09-17,P14: Agent Engineering,11 Planning with HTN and Evolutionary Search; 12 Anthropic's Workflow Patterns; 13 LangGraph — Stateful Graphs and Durable Execution; 14 AutoGen v0.4 — Actor Model; 15 CrewAI — Role-Based Crews and Flows,5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Agent Loop,"Build/extend the Bengali AI agent's core loop, memory, or tool-use using today's agent engineering pattern.",
65,2026-09-19,P14: Agent Engineering,"16 OpenAI Agents SDK — Handoffs, Guardrails, Tracing; 17 Claude Agent SDK — Subagents and Session Store; 18 Agno and Mastra — Production Runtimes; 19 Benchmarks — SWE-bench, GAIA, AgentBench; 20 Benchmarks — WebArena and OSWorld",5.25,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Agent Loop,"Build/extend the Bengali AI agent's core loop, memory, or tool-use using today's agent engineering pattern.",
66,2026-09-20,P14: Agent Engineering,"21 Computer Use — Claude, OpenAI CUA, Gemini; 22 Voice Agents — Pipecat and LiveKit; 23 OpenTelemetry GenAI Semantic Conventions; 24 Agent Observability — Langfuse, Phoenix, Opik; 25 Multi-Agent Debate and Collaboration; 26 Failure Modes — Why Agents Break",5.75,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Agent Loop,"Build/extend the Bengali AI agent's core loop, memory, or tool-use using today's agent engineering pattern.",
67,2026-09-21,P14: Agent Engineering,"27 Prompt Injection and the PVE Defense; 28 Orchestration Patterns — Supervisor, Swarm, Hierarchical; 29 Production Runtimes — Queue, Event, Cron; 30 Eval-Driven Agent Development; 31 Agent Workbench: Why Capable Models Still Fail",5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Agent Loop,"Build/extend the Bengali AI agent's core loop, memory, or tool-use using today's agent engineering pattern.",
68,2026-09-22,P14: Agent Engineering,32 The Minimal Agent Workbench; 33 Agent Instructions as Executable Constraints; 34 Repo Memory and Durable State; 35 Initialization Scripts for Agents; 36 Scope Contracts and Task Boundaries; 37 Runtime Feedback Loops,5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Agent Loop,"Build/extend the Bengali AI agent's core loop, memory, or tool-use using today's agent engineering pattern.","PHASE 14 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
69,2026-09-23,P14: Agent Engineering | P15: Autonomous Systems,38 Verification Gates; 39 Reviewer Agent: Separate Builder from Marker; 40 Multi-Session Handoff; 41 The Workbench on a Real Repo; 42 Capstone: Ship a Reusable Agent Workbench Pack; 01 From Chatbots to Long-Horizon Agents (METR),5.67,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Guardrails,"Add safety guardrails, action budgets, or rollback checkpoints to the Bengali AI agent using today's autonomous-systems concept.",
70,2026-09-24,P15: Autonomous Systems,"02 STaR, V-STaR, Quiet-STaR — Self-Taught Reasoning; 03 AlphaEvolve — Evolutionary Coding Agents; 04 Darwin Gödel Machine — Self-Modifying Agents; 05 AI Scientist v2 — Workshop-Level Research; 06 Automated Alignment Research (Anthropic AAR)",5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Guardrails,"Add safety guardrails, action budgets, or rollback checkpoints to the Bengali AI agent using today's autonomous-systems concept.",
71,2026-09-26,P15: Autonomous Systems,"07 Recursive Self-Improvement — Capability vs Alignment; 08 Bounded Self-Improvement Designs; 09 Autonomous Coding Agent Landscape (SWE-bench, CodeAct); 10 Claude Code Permission Modes and Auto Mode; 11 Browser Agents and Indirect Prompt Injection; 12 Durable Execution for Long-Running Agents",5.25,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Guardrails,"Add safety guardrails, action budgets, or rollback checkpoints to the Bengali AI agent using today's autonomous-systems concept.",
72,2026-09-27,P15: Autonomous Systems,"13 Action Budgets, Iteration Caps, Cost Governors; 14 Kill Switches, Circuit Breakers, Canary Tokens; 15 HITL — Propose-Then-Commit; 16 Checkpoints and Rollback; 17 Constitutional AI and Rule Overrides",5,https://aiengineeringfromscratch.com/catalog.html,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",Bangla AI Agent - Guardrails,"Add safety guardrails, action budgets, or rollback checkpoints to the Bengali AI agent using today's autonomous-systems concept.","PHASE 15 COMPLETE — checkpoint: review notes, run a small self-test/quiz, and push a phase-summary commit."
73,2026-09-28,P15: Autonomous Systems | P16: Multi-Agent & Swarms,"18 Llama Guard and Input/Output Classification; 19 Anthropic Responsible Scaling Policy v3.0; 20 OpenAI Preparedness Framework and DeepMind FSF; 21 METR Time Horizons and External Evaluation; 22 CAIS, CAISI, and Societal-Scale Risk; 01 Why Multi-Agent; 02 FIPA-ACL Heritage and Speech Acts",5.75,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/01-why-multi-agent/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/02-fipa-acl-heritage/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ Multi-Agent Ops,Prototype a multi-agent pattern for CartQ (e.g. vendor-agent + customer-agent + dispatcher) using today's multi-agent concept.,
74,2026-09-29,P16: Multi-Agent & Swarms,03 Communication Protocols; 04 The Multi-Agent Primitive Model; 05 Supervisor / Orchestrator-Worker Pattern; 06 Hierarchical Architecture and Decomposition Drift; 07 Society of Mind and Multi-Agent Debate,5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/03-communication-protocols/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/04-primitive-model/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/05-supervisor-orchestrator-pattern/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/06-hierarchical-architecture/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/07-society-of-mind-debate/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ Multi-Agent Ops,Prototype a multi-agent pattern for CartQ (e.g. vendor-agent + customer-agent + dispatcher) using today's multi-agent concept.,
75,2026-09-30,P16: Multi-Agent & Swarms,08 Role Specialization — Planner / Critic / Executor / Verifier; 09 Parallel Swarm and Networked Architectures; 10 Group Chat and Speaker Selection; 11 Handoffs and Routines (Stateless Orchestration); 12 A2A — The Agent-to-Agent Protocol,5.5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/08-role-specialization/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/09-parallel-swarm-networks/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/10-group-chat-speaker-selection/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/11-handoffs-and-routines/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/12-a2a-protocol/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ Multi-Agent Ops,Prototype a multi-agent pattern for CartQ (e.g. vendor-agent + customer-agent + dispatcher) using today's multi-agent concept.,
76,2026-10-01,P16: Multi-Agent & Swarms,"13 Shared Memory and Blackboard Patterns; 14 Consensus and Byzantine Fault Tolerance for Agents; 15 Voting, Self-Consistency, and Debate Topology; 16 Negotiation and Bargaining",5,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/13-shared-memory-blackboard/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/14-consensus-and-bft/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/15-voting-debate-topology/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/16-negotiation-bargaining/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ Multi-Agent Ops,Prototype a multi-agent pattern for CartQ (e.g. vendor-agent + customer-agent + dispatcher) using today's multi-agent concept.,
77,2026-10-03,P16: Multi-Agent & Swarms,"17 Generative Agents and Emergent Simulation; 18 Theory of Mind and Emergent Coordination; 19 Swarm Optimization for LLMs (PSO, ACO); 20 MARL — MADDPG, QMIX, MAPPO",5.25,https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/17-generative-agents-simulation/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/18-theory-of-mind-coordination/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/19-swarm-optimization-pso-aco/ | https://github.com/rohitg00/ai-engineering-from-scratch/tree/main/phases/16-multi-agent-and-swarms/20-marl-maddpg-qmix-mappo/,"Read/watch the lesson material, then implement the from-scratch exercise in code (Python primary; TS/Rust/Julia optional per lesson). Run any provided tests before moving on.","Write a 5-6 bullet recap in your learning journal (what you built, one thing that was hard, one thing to revisit). Commit code + notes to your learning repo.",CartQ Multi-Agent Ops,Prototype a multi-agent pattern for CartQ (e.g. vendor-agent + customer-agent + dispatcher) using today's multi-agent concept.,
